NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1 [%],top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level
CNV,NCS,FP16,na,1,4.97914,151.555,200.838,,,87.02,,0.53,1.2,1.728796,0.469449728,100%,l3
CNV,NCS,FP16,na,2,8.93829,162.738,223.757,,,87.02,,0.53,1.2,1.7803,0.938899456,100%,l3
CNV,NCS,FP16,na,4,16.8473,171.284,237.426,,,87.02,,0.53,1.2,1.82302425,1.877798912,100%,l3
CNV,NCS,FP16,na,8,31.8658,177.259,251.053,,,87.02,,0.53,1.2,1.86092125,3.755597824,100%,l3
CNV,NCS,FP16,na,16,61.7732,181.621,259.012,,,87.02,,0.53,1.2,1.87945948717949,7.511195648,100%,l3
CNV,NCS,FP16,na,32,121.825,183.067,262.673,,,87.02,,0.53,1.2,1.90372461538462,15.022391296,100%,l3
CNV,NCS,FP16,na,64,242.098,183.706,264.356,,,87.02,,0.53,1.2,1.90367105263158,30.044782592,100%,l3
CNV,NCS,FP16,na,128,481.675,184.24,265.739,,,87.02,,0.53,1.2,1.91102,60.089565184,100%,l3
CNV,TPU,INT8,slow,1,,,,,,,,,,,0.469449728,100%,l3
CNV,TPU,INT8,fast,1,,,,,,,,,,,0.469449728,100%,l3
CNV,GPU,FP16,maxn,1,1.12055,681.758,906.399,,,87.06,,1.8,5.7,11.8,0.469449728,100%,l3
CNV,GPU,FP16,maxn,2,1.82371,818.545,1120.55,,,87.06,,1.8,5.7,13.6,0.938899456,100%,l3
CNV,GPU,FP16,maxn,4,2.99886,1057.85,1339.58,,,87.06,,1.8,5.7,13.6,1.877798912,100%,l3
CNV,GPU,FP16,maxn,8,4.77356,1276.81,1687.24,,,87.06,,1.8,5.7,14.4,3.755597824,100%,l3
CNV,GPU,FP16,maxn,16,8.36053,1422.22,1924.11,,,87.06,,1.8,5.7,14.4,7.511195648,100%,l3
CNV,GPU,FP16,maxn,32,15.4095,1512.56,2110.74,,,87.06,,1.8,5.7,14.4,15.022391296,100%,l3
