NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
CNV,NCS2,FP16,,1,3.4,1.9000400000000002,293.812,526.305,2.355983232912,4.22026927218,77.82,,0.53,1.2,1.56,0.008018676,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.00013048713461710285,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,2,5.61,2.55363,356.569,783.197,2.8592112826440004,6.280202987172,77.82,,0.53,1.2,1.58,0.016037352,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.00017537307718378157,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,4,10.09,3.9493099999999997,396.43199999999996,1012.84,3.178859764032,8.121635799840002,77.82,,0.53,1.2,1.59,0.032074704,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.0002712227877385057,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,8,19.18,6.9200800000000005,417.17199999999997,1156.06,3.345167104272,9.27007057656,77.82,,0.53,1.2,1.59,0.064149408,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.0004752433688349304,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,16,37.01,12.6046,432.293,1269.38,3.4664175040680005,10.178746940880002,77.82,,0.53,1.2,1.58,0.128298816,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.0008656334271882352,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,32,72.74,23.6896,439.912,1350.8,3.527511796512,10.831627540800001,77.82,,0.53,1.2,1.58,0.256597632,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.0016269068147119637,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,64,143.09,45.6772,447.278,1401.14,3.5865773639280003,11.235287690640002,77.82,,0.53,1.2,1.59,0.513195264,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.0031369270885519937,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,128,284.73,89.2251,449.542,1434.57,3.604731646392,11.50335202932,77.82,,0.53,1.2,1.58,1.026390528,12.5,l3,0.5,12.8,0.01,NCS2_FP16_12.50%_CNV,0.006127622384225839,FP16_NCS2,NCS2_FP16_CNV_12.5
CNV,NCS2,FP16,,1,3.5,1.95433,285.517,511.684,8.711618185444,15.612365076688,83.28,,0.53,1.2,1.59,0.030511732,25.0,l3,0.5,12.8,0.03,NCS2_FP16_25%_CNV,0.00013421555430214238,FP16_NCS2,NCS2_FP16_CNV_25.0
CNV,NCS2,FP16,,2,5.8,2.80634,344.874,712.672,10.522703061768,21.744857067904,83.28,,0.53,1.2,1.62,0.061023464,25.0,l3,0.5,12.8,0.03,NCS2_FP16_25%_CNV,0.00019272818749150567,FP16_NCS2,NCS2_FP16_CNV_25.0
