NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
EfficientNet-S,EdgeTPU-fast,INT8,fast,1,49.99852,4.9963,20.000999999999998,200.148,0.0,0.0,77.622837,93.76600400000001,0.8096,0.8096,1.99899,0.0,100.0,l3,4.0,25.6,4.7,EdgeTPU-fast_INT8_100%_EfficientNet-S,0.5552437713857702,INT8_EdgeTPU-fast,EdgeTPU-fast_INT8_EfficientNet-S_100.0
EfficientNet-S,EdgeTPU-slow,INT8,slow,1,58.99477,8.998389999999999,16.951,111.131,0.0,0.0,77.622837,93.76600400000001,0.83325,0.83325,1.48888,0.0,100.0,l3,2.0,25.6,4.7,EdgeTPU-slow_INT8_100%_EfficientNet-S,1.0,INT8_EdgeTPU-slow,EdgeTPU-slow_INT8_EfficientNet-S_100.0
EfficientNet-M,EdgeTPU-fast,INT8,fast,1,53.01476,8.99982,18.863,111.113,0.0,0.0,78.975272,94.510245,0.8096,0.8096,2.01804,0.0,100.0,l3,4.0,25.6,7.4,EdgeTPU-fast_INT8_100%_EfficientNet-M,0.6447578348598878,INT8_EdgeTPU-fast,EdgeTPU-fast_INT8_EfficientNet-M_100.0
EfficientNet-M,EdgeTPU-slow,INT8,slow,1,58.02965,13.95845,17.233,71.641,0.0,0.0,78.975272,94.510245,0.83325,0.83325,1.68304,0.0,100.0,l3,2.0,25.6,7.4,EdgeTPU-slow_INT8_100%_EfficientNet-M,1.0,INT8_EdgeTPU-slow,EdgeTPU-slow_INT8_EfficientNet-M_100.0
EfficientNet-L,EdgeTPU-fast,INT8,fast,1,65.00292,25.99955,15.384,38.461999999999996,0.0,0.0,80.47375100000001,95.188463,0.8096,0.8096,2.88148,0.0,100.0,l3,4.0,25.6,19.4,EdgeTPU-fast_INT8_100%_EfficientNet-L,0.7222047069117575,INT8_EdgeTPU-fast,EdgeTPU-fast_INT8_EfficientNet-L_100.0
EfficientNet-L,EdgeTPU-slow,INT8,slow,1,76.98822,36.00025,12.989,27.778000000000002,0.0,0.0,80.47375100000001,95.188463,0.83325,0.83325,1.6315,0.0,100.0,l3,2.0,25.6,19.4,EdgeTPU-slow_INT8_100%_EfficientNet-L,1.0,INT8_EdgeTPU-slow,EdgeTPU-slow_INT8_EfficientNet-L_100.0
GoogLeNetv1,EdgeTPU-slow,INT8,slow,1,10.03,5.72131,99.741,174.785,312.18933,547.07705,69.2434,88.4458,0.253,0.253,0.46299999999999997,3.13,100.0,l3,2.0,25.6,3.1,EdgeTPU-slow_INT8_100%_GoogLeNetv1,0.004763312574930066,INT8_EdgeTPU-slow,EdgeTPU-slow_INT8_GoogLeNetv1_100.0
GoogLeNetv1,EdgeTPU-fast,INT8,fast,1,7.4,3.6485199999999995,135.08700000000002,274.084,422.82231,857.88292,69.2434,88.4458,0.253,0.253,0.5379999999999999,3.13,100.0,l3,4.0,25.6,3.1,EdgeTPU-fast_INT8_100%_GoogLeNetv1,0.003037598241641135,INT8_EdgeTPU-fast,EdgeTPU-fast_INT8_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP16,maxn,1,8.15,5.23807,123.686,194.27,387.13718,608.0651,66.928,87.83200000000001,1.8,5.7,11.52,3.13,100.0,l3,1.33,59.7,3.1,TX2-maxn_FP16_100%_GoogLeNetv1,0.004360988077794059,FP16_TX2-maxn,TX2-maxn_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP16,maxn,2,14.02,9.292110000000001,142.025,220.442,444.53825,689.98346,66.928,87.83200000000001,1.8,5.7,11.4,6.26,100.0,l3,1.33,59.7,3.1,TX2-maxn_FP16_100%_GoogLeNetv1,0.007736204542427069,FP16_TX2-maxn,TX2-maxn_FP16_GoogLeNetv1_100.0
