NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,NCS,FP16,,1,3.16,1.6157,316.199,618.928,0.21153713100000002,0.414062832,97.95,,0.53,1.2,1.548,0.000669,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.0037120000735186,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,2,5.08,1.9723,393.474,1014.05,0.26323410599999997,0.67839945,97.95,,0.53,1.2,1.6280000000000001,0.001338,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.004531272974562564,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,4,8.87,2.67093,450.727,1497.6,0.301536363,1.0018943999999999,97.95,,0.53,1.2,1.67,0.002676,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.006136344838994265,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,8,16.44,4.18684,486.767,1910.75,0.325647123,1.27829175,97.95,,0.53,1.2,1.699,0.005352,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.00961908175268343,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,16,31.79,7.118469999999999,503.27,2247.67,0.33668762999999996,1.50369123,97.95,,0.53,1.2,1.7109999999999999,0.010704,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.016354373437729743,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,32,62.05,12.9453,515.686,2471.93,0.344993934,1.6537211699999999,97.95,,0.53,1.2,1.735,0.021408,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.02974126047640053,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,64,123,24.0058,520.318,2666.02,0.348092742,1.78356738,97.95,,0.53,1.2,1.719,0.042816,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.055152275400676375,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,128,243.2,45.7766,526.317,2796.19,0.352106073,1.87065111,97.95,,0.53,1.2,1.764,0.085632,12.5,l3,0.5,12.8,0.0007,NCS_FP16_12.50%_MLP,0.10516973606822526,FP16_NCS,NCS_FP16_MLP_12.5
MLP,NCS,FP16,,1,3.23,1.66639,309.24,600.099,0.57580488,1.1173843380000001,98.49,,0.53,1.2,1.62,0.001862,25.0,l3,0.5,12.8,0.0019,NCS_FP16_25%_MLP,0.0038284581311571826,FP16_NCS,NCS_FP16_MLP_25.0
MLP,NCS,FP16,,2,5.24,2.1244099999999997,381.92199999999997,941.439,0.7111387639999999,1.7529594179999999,98.49,,0.53,1.2,1.71,0.003724,25.0,l3,0.5,12.8,0.0019,NCS_FP16_25%_MLP,0.004880739045728569,FP16_NCS,NCS_FP16_MLP_25.0
