config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"maxn,FP16,b1",0.755209,0.40324699999999997,1335.07,2698.58,14.857999999999999,30.0325,GPU,TX2,cnv,s0.25,1,FP16
"maxn,FP16,b2",0.9944059999999999,0.43264600000000003,2015.75,5297.14,22.4333,58.9518,GPU,TX2,cnv,s0.25,2,FP16
"maxn,FP16,b4",1.43038,0.445125,2737.97,10473.3,30.4708,116.55799999999999,GPU,TX2,cnv,s0.25,4,FP16
"maxn,FP16,b8",2.48552,0.546445,3200.0,15408.7,35.6128,171.483,GPU,TX2,cnv,s0.25,8,FP16
"maxn,FP16,b16",4.58486,0.831484,3494.88,21041.4,38.8945,234.17,GPU,TX2,cnv,s0.25,16,FP16
"maxn,FP16,b32",8.45953,1.25581,3778.6,27495.1,42.052,305.993,GPU,TX2,cnv,s0.25,32,FP16
"maxn,FP16,b64",16.2506,2.1415599999999997,3968.99,31310.2,44.1709,348.45099999999996,GPU,TX2,cnv,s0.25,64,FP16
"maxn,FP16,b128",31.9306,3.804,4000.0,34201.7,44.516000000000005,380.631,GPU,TX2,cnv,s0.25,128,FP16
"maxn,FP32,b1",0.704464,0.35820799999999997,1434.17,2984.75,15.9609,33.2173,GPU,TX2,cnv,s0.25,1,FP32
"maxn,FP32,b2",0.941293,0.36941999999999997,2124.48,5866.08,23.6434,65.2836,GPU,TX2,cnv,s0.25,2,FP32
"maxn,FP32,b4",1.45366,0.428695,2775.07,9376.6,30.8837,104.352,GPU,TX2,cnv,s0.25,4,FP32
"maxn,FP32,b8",2.61362,0.687852,3056.72,12228.0,34.0182,136.086,GPU,TX2,cnv,s0.25,8,FP32
"maxn,FP32,b16",4.6437,1.02383,3413.33,16847.6,37.986999999999995,187.497,GPU,TX2,cnv,s0.25,16,FP32
"maxn,FP32,b32",8.93325,1.8461299999999998,3518.9,19928.4,39.1618,221.783,GPU,TX2,cnv,s0.25,32,FP32
"maxn,FP32,b64",16.9835,3.15394,3657.14,22035.2,40.7003,245.23,GPU,TX2,cnv,s0.25,64,FP32
"maxn,FP32,b128",33.5594,5.58488,3820.9,23440.5,42.5227,260.87,GPU,TX2,cnv,s0.25,128,FP32
"maxq,FP16,b1",1.0496299999999998,0.606881,947.2710000000001,1722.37,10.5422,19.1682,GPU,TX2,cnv,s0.25,1,FP16
"maxq,FP16,b2",1.36582,0.616611,1462.86,3384.4,16.2801,37.665,GPU,TX2,cnv,s0.25,2,FP16
