hardw_datatype_net_prun,hardw,network,fps-comp,top1,type
NCS_FP16_CNV_100,NCS,CNV,265.73900000000003,87.02,measured
NCS_FP16_CNV_12.5,NCS,CNV,1434.57,77.82,measured
NCS_FP16_CNV_25,NCS,CNV,1211.78,83.28,measured
NCS_FP16_CNV_50,NCS,CNV,739.209,85.55,measured
TX2-maxn_FP16_CNV_100,TX2-maxn,CNV,2231.14,87.06,measured
TX2-maxn_FP16_CNV_12.5,TX2-maxn,CNV,34197.2,77.81,measured
TX2-maxn_FP16_CNV_25,TX2-maxn,CNV,20321.5,83.31,measured
TX2-maxn_FP16_CNV_50,TX2-maxn,CNV,7707.19,85.57,measured
TX2-maxn_FP32_CNV_100,TX2-maxn,CNV,1236.0,87.06,measured
TX2-maxn_FP32_CNV_12.5,TX2-maxn,CNV,23411.6,77.84,measured
TX2-maxn_FP32_CNV_25,TX2-maxn,CNV,12971.1,83.25,measured
TX2-maxn_FP32_CNV_50,TX2-maxn,CNV,4384.54,85.6,measured
TX2-maxp_FP16_CNV_100,TX2-maxp,CNV,1939.6,87.06,measured
TX2-maxp_FP16_CNV_12.5,TX2-maxp,CNV,29763.1,77.81,measured
TX2-maxp_FP16_CNV_25,TX2-maxp,CNV,17483.4,83.31,measured
TX2-maxp_FP16_CNV_50,TX2-maxp,CNV,6618.15,85.57,measured
TX2-maxp_FP32_CNV_100,TX2-maxp,CNV,1072.66,87.06,measured
TX2-maxp_FP32_CNV_12.5,TX2-maxp,CNV,20283.3,77.84,measured
TX2-maxp_FP32_CNV_25,TX2-maxp,CNV,11247.1,83.25,measured
TX2-maxp_FP32_CNV_50,TX2-maxp,CNV,3744.29,85.6,measured
TX2-maxq_FP16_CNV_100,TX2-maxq,CNV,1520.04,87.06,measured
TX2-maxq_FP16_CNV_12.5,TX2-maxq,CNV,23300.8,77.81,measured
TX2-maxq_FP16_CNV_25,TX2-maxq,CNV,13507.3,83.31,measured
TX2-maxq_FP16_CNV_50,TX2-maxq,CNV,5110.47,85.57,measured
TX2-maxq_FP32_CNV_100,TX2-maxq,CNV,832.648,87.06,measured
TX2-maxq_FP32_CNV_12.5,TX2-maxq,CNV,16053.2,77.84,measured
TX2-maxq_FP32_CNV_25,TX2-maxq,CNV,8820.21,83.25,measured
TX2-maxq_FP32_CNV_50,TX2-maxq,CNV,2928.61,85.6,measured
U96-Quadcore A53_INT2_CNV_12.5,U96-Quadcore A53,CNV,766.045053,73.64,measured
U96-Quadcore A53_INT2_CNV_25,U96-Quadcore A53,CNV,363.66735800000004,79.89,measured
U96-Quadcore A53_INT2_CNV_50,U96-Quadcore A53,CNV,104.31361240000001,84.29,measured
U96-Quadcore A53_INT4_CNV_12.5,U96-Quadcore A53,CNV,761.5829025,75.85,measured
U96-Quadcore A53_INT4_CNV_25,U96-Quadcore A53,CNV,361.91828,81.09,measured
ZCU104-Bismo_INT2_CNV_12.5,ZCU104-Bismo,CNV,883.6335703,73.64,measured
ZCU104-Bismo_INT2_CNV_25,ZCU104-Bismo,CNV,581.7145176,79.89,measured
ZCU104-Bismo_INT2_CNV_50,ZCU104-Bismo,CNV,263.9053073,84.29,measured
ZCU104-Bismo_INT4_CNV_12.5,ZCU104-Bismo,CNV,605.0294691,75.85,measured
ZCU104-Bismo_INT4_CNV_25,ZCU104-Bismo,CNV,368.8457025,81.09,measured
ZCU104-FINN_INT2_CNV_100,ZCU104-FINN,CNV,2979.0820000000003,86.86,measured
ZCU104-FINN_INT2_CNV_12.5,ZCU104-FINN,CNV,60757.09,73.64,measured
ZCU104-FINN_INT2_CNV_25,ZCU104-FINN,CNV,30286.897,79.89,measured
ZCU104-FINN_INT2_CNV_50,ZCU104-FINN,CNV,17029.769,84.29,measured
ZCU104-FINN_INT4_CNV_100,ZCU104-FINN,CNV,686.76,87.42,measured
ZCU104-FINN_INT4_CNV_12.5,ZCU104-FINN,CNV,25206.016,75.85,measured
ZCU104-FINN_INT4_CNV_25,ZCU104-FINN,CNV,15342.62,81.09,measured
ZCU104-FINN_INT4_CNV_50,ZCU104-FINN,CNV,8209.332,84.88,measured
