hardw_datatype_net_prun,batch/thread/stream,hardw,NN_Topology,fps-comp,top1,type
EdgeTPU-fast_INT8_GNv1_100.0,1,EdgeTPU-fast,GNv1,274.084,69.2434,measured
EdgeTPU-fast_INT8_MNv1_100.0,1,EdgeTPU-fast,MNv1,389.034,69.5674,measured
EdgeTPU-slow_INT8_GNv1_100.0,1,EdgeTPU-slow,GNv1,174.785,69.2434,measured
EdgeTPU-slow_INT8_MNv1_100.0,1,EdgeTPU-slow,MNv1,244.949,69.5674,measured
NCS_FP16_RN50_100.0,128,NCS,RN50,18.2716,75.172,measured
TX2-maxp_FP16_GNv1_100.0,128,TX2-maxp,GNv1,240.699,66.928,measured
TX2-maxp_FP16_RN50_100.0,128,TX2-maxp,RN50,114.033,75.142,measured
TX2-maxp_FP32_GNv1_100.0,128,TX2-maxp,GNv1,136.319,66.956,measured
TX2-maxp_FP32_RN50_100.0,128,TX2-maxp,RN50,61.5141,75.148,measured
Ultra96-DPU_INT8_GNv1_100.0,8,Ultra96-DPU,GNv1,66.5095,69.41,measured
Ultra96-DPU_INT8_RN50_100.0,8,Ultra96-DPU,RN50,26.5641,73.29,measured
Ultra96-DPU_INT8_RN50_30.0,8,Ultra96-DPU,RN50,49.5801,68.83,measured
Ultra96-DPU_INT8_RN50_50.0,8,Ultra96-DPU,RN50,39.62,69.49,measured
Ultra96-DPU_INT8_RN50_80.0,8,Ultra96-DPU,RN50,29.3968,73.3,measured
ZCU102-DPU_INT8_GNv1_100.0,8,ZCU102-DPU,GNv1,544.702,69.49,measured
ZCU102-DPU_INT8_RN50_100.0,8,ZCU102-DPU,RN50,193.787,72.53,measured
ZCU104-DPU_INT8_RN50_100.0,8,ZCU104-DPU,RN50,138.253,72.53,measured
