hardw_datatype_net_prun,hardw,network,fps-comp,top1,type
GPU-maxp_FP16_MLP_100,GPU-maxp,MLP,61409.3,97.3,experimental
GPU-maxp_FP16_MLP_12.5,GPU-maxp,MLP,278034.0,97.15,experimental
GPU-maxp_FP16_MLP_25,GPU-maxp,MLP,220832.0,97.44,experimental
GPU-maxp_FP16_MLP_50,GPU-maxp,MLP,141671.0,97.46,experimental
GPU-maxp_FP32_MLP_100,GPU-maxp,MLP,39802.5,97.31,experimental
GPU-maxp_FP32_MLP_12.5,GPU-maxp,MLP,264873.0,97.15,experimental
GPU-maxp_FP32_MLP_25,GPU-maxp,MLP,193866.0,97.44,experimental
GPU-maxp_FP32_MLP_50,GPU-maxp,MLP,103759.0,97.46,experimental
NCS_FP16_MLP_100,NCS,MLP,621.337,98.86,experimental
NCS_FP16_MLP_12.5,NCS,MLP,2796.19,97.95,experimental
NCS_FP16_MLP_25,NCS,MLP,2197.4,98.49,experimental
NCS_FP16_MLP_50,NCS,MLP,1370.96,98.75,experimental
U96-Quadcore A53_INT2_MLP_100,U96-Quadcore A53,MLP,294.0744008,98.75,experimental
U96-Quadcore A53_INT2_MLP_12.5,U96-Quadcore A53,MLP,8493.696085,96.85,experimental
U96-Quadcore A53_INT2_MLP_25,U96-Quadcore A53,MLP,3104.686136,98.04,experimental
U96-Quadcore A53_INT2_MLP_50,U96-Quadcore A53,MLP,985.2595928,98.49,experimental
U96-Quadcore A53_INT4_MLP_100,U96-Quadcore A53,MLP,294.365206,98.77,experimental
U96-Quadcore A53_INT4_MLP_12.5,U96-Quadcore A53,MLP,8535.609496,97.54,experimental
U96-Quadcore A53_INT4_MLP_25,U96-Quadcore A53,MLP,3110.1176010000004,98.29,experimental
U96-Quadcore A53_INT4_MLP_50,U96-Quadcore A53,MLP,984.9411728,98.62,experimental
ZCU104-Bismo_INT2_MLP_100,ZCU104-Bismo,MLP,1606.5480890000001,98.75,experimental
ZCU104-Bismo_INT2_MLP_12.5,ZCU104-Bismo,MLP,33542.080369999996,96.85,experimental
ZCU104-Bismo_INT2_MLP_25,ZCU104-Bismo,MLP,14171.66559,98.04,experimental
ZCU104-Bismo_INT2_MLP_50,ZCU104-Bismo,MLP,5103.813561999999,98.49,experimental
ZCU104-Bismo_INT4_MLP_100,ZCU104-Bismo,MLP,838.3528949,98.77,experimental
ZCU104-Bismo_INT4_MLP_12.5,ZCU104-Bismo,MLP,19093.17559,97.54,experimental
ZCU104-Bismo_INT4_MLP_25,ZCU104-Bismo,MLP,7643.090598000001,98.29,experimental
ZCU104-Bismo_INT4_MLP_50,ZCU104-Bismo,MLP,2728.186302,98.62,experimental
ZCU104-FINN_INT2_MLP_100,ZCU104-FINN,MLP,80389.386,98.75,experimental
ZCU104-FINN_INT2_MLP_12.5,ZCU104-FINN,MLP,3849624.06,96.85,experimental
ZCU104-FINN_INT2_MLP_25,ZCU104-FINN,MLP,1932075.4719999998,98.04,experimental
ZCU104-FINN_INT2_MLP_50,ZCU104-FINN,MLP,484848.485,98.49,experimental
ZCU104-FINN_INT4_MLP_12.5,ZCU104-FINN,MLP,1193473.19,97.54,experimental
ZCU104-FINN_INT4_MLP_25,ZCU104-FINN,MLP,598130.841,98.29,experimental
ZCU104-FINN_INT4_MLP_50,ZCU104-FINN,MLP,242884.25,98.62,experimental
