Name,arith_intens,performance
Ultra96 DPU INT8,12.1,0.051545999999999995
Ultra96 DPU INT8,226.1,0.96
Ultra96 DPU INT8,160000,0.96
ZCU104 INT8,3.1,0.059519999999999997
ZCU104 INT8,240.1,4.6
ZCU104 INT8,160000,4.6
ZCU102 INT8,3.1,0.059519999999999997
ZCU102 INT8,350.1,6.71
ZCU102 INT8,160000,6.71
ZCU104 FINN INT2,3.1,0.059519999999999997
ZCU104 FINN INT2,1599.1,30.7
ZCU104 FINN INT2,160000,30.7
ZCU104 FINN INT4,3.1,0.059519999999999997
ZCU104 FINN INT4,459.1,8.8
ZCU104 FINN INT4,160000,8.8
ZCU104 BISMO INT2,3.1,0.059519999999999997
ZCU104 BISMO INT2,1599.1,30.7
ZCU104 BISMO INT2,160000,30.7
ZCU104 BISMO INT4,3.1,0.059519999999999997
ZCU104 BISMO INT4,459.1,8.8
ZCU104 BISMO INT4,160000,8.8
TX2 maxn FP16,1.1,0.06567
TX2 maxn FP16,23.1,1.33
TX2 maxn FP16,160000,1.33
TX2 maxn FP32,1.1,0.06567
TX2 maxn FP32,12.1,0.67
TX2 maxn FP32,160000,0.67
TX2 maxp FP16,1.1,0.06567
TX2 maxp FP16,20.1,1.15
TX2 maxp FP16,160000,1.15
TX2 maxp FP32,1.1,0.06567
TX2 maxp FP32,10.1,0.57
TX2 maxp FP32,160000,0.57
TX2 maxq FP16,1.1,0.06567
TX2 maxq FP16,15.1,0.87
TX2 maxq FP16,160000,0.87
TX2 maxq FP32,1.1,0.06567
TX2 maxq FP32,8.1,0.44
TX2 maxq FP32,160000,0.44
EdgeTPU fast INT8,2.1,0.05376
EdgeTPU fast INT8,157.1,4.0
EdgeTPU fast INT8,160000,4.0
EdgeTPU slow INT8,2.1,0.05376
EdgeTPU slow INT8,79.1,2.0
EdgeTPU slow INT8,160000,2.0
NCS INT8,4.1,0.05248
NCS INT8,79.1,1.0
NCS INT8,160000,1.0
NCS FP16,4.1,0.05248
NCS FP16,39.1,0.5
NCS FP16,160000,0.5
GoogLeNetv1_INT2,2093.97,
MobileNetv1_INT2,1075.47,
ResNet-50 100%_INT2,1210.84,
ResNet-50 80%_INT2,1086.59,
ResNet-50 50%_INT2,949.85,
ResNet-50 30%_INT2,970.16,
EfficientNet Edge S_INT2,3481.48,
EfficientNet Edge M_INT2,4289.86,
EfficientNet Edge L_INT2,7313.21,
CNV 100%_INT2,304.95,
CNV 50%_INT2,308.32,
CNV 25%_INT2,315.01,
CNV 12.5%_INT2,332.61,
MLP 100%_INT2,8,
MLP  50%_INT2,8,
MLP   25%_INT2,8,
MLP    12.5%_INT2,8,
GoogLeNetv1_INT4,1046.99,
MobileNetv1_INT4,537.74,
ResNet-50 100%_INT4,605.42,
ResNet-50 80%_INT4,543.3,
ResNet-50 50%_INT4,474.93,
ResNet-50 30%_INT4,485.08,
EfficientNet Edge S_INT4,1740.74,
EfficientNet Edge M_INT4,2144.93,
EfficientNet Edge L_INT4,3656.6,
CNV 100%_INT4,152.48,
CNV 50%_INT4,154.16,
CNV 25%_INT4,157.51,
CNV 12.5%_INT4,166.3,
MLP 100%_INT4,4,
MLP  50%_INT4,4,
MLP   25%_INT4,4,
MLP    12.5%_INT4,4,
GoogLeNetv1_INT8,523.49,
MobileNetv1_INT8,268.87,
ResNet-50 100%_INT8,302.71,
ResNet-50 80%_INT8,271.65,
ResNet-50 50%_INT8,237.46,
ResNet-50 30%_INT8,242.54,
EfficientNet Edge S_INT8,870.37,
EfficientNet Edge M_INT8,1072.46,
EfficientNet Edge L_INT8,1828.3,
CNV 100%_INT8,76.24,
CNV 50%_INT8,77.08,
CNV 25%_INT8,78.75,
CNV 12.5%_INT8,83.15,
MLP 100%_INT8,2,
MLP  50%_INT8,2,
MLP   25%_INT8,2,
MLP    12.5%_INT8,2,
GoogLeNetv1_FP16,261.75,
MobileNetv1_FP16,134.43,
ResNet-50 100%_FP16,151.36,
ResNet-50 80%_FP16,135.82,
ResNet-50 50%_FP16,118.73,
ResNet-50 30%_FP16,121.27,
EfficientNet Edge S_FP16,435.18,
EfficientNet Edge M_FP16,536.23,
EfficientNet Edge L_FP16,914.15,
CNV 100%_FP16,38.12,
CNV 50%_FP16,38.54,
CNV 25%_FP16,39.38,
CNV 12.5%_FP16,41.58,
MLP 100%_FP16,1,
MLP  50%_FP16,1,
MLP   25%_FP16,1,
MLP    12.5%_FP16,1,
GoogLeNetv1_FP32,130.87,
MobileNetv1_FP32,67.22,
ResNet-50 100%_FP32,75.68,
ResNet-50 80%_FP32,67.91,
ResNet-50 50%_FP32,59.37,
ResNet-50 30%_FP32,60.64,
EfficientNet Edge S_FP32,217.59,
EfficientNet Edge M_FP32,268.12,
EfficientNet Edge L_FP32,457.08,
CNV 100%_FP32,19.06,
CNV 50%_FP32,19.27,
CNV 25%_FP32,19.69,
CNV 12.5%_FP32,20.79,
MLP 100%_FP32,0.5,
MLP  50%_FP32,0.5,
MLP   25%_FP32,0.5,
MLP    12.5%_FP32,0.5,
