,top1,fps-comp,NN_Topology,type,hardw,hardw_datatype_net_prun,hw_peak_perf,nn_total_operations,pairs,color
5,86.86,12457.94043,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_100,,,False,predicted_no_match
82,87.4,6228.9702130000005,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_100,,,False,predicted_no_match
28,73.64,766.045053,CNV,measured,U96-Quadcore-A53,u96-quadcore-a53_int2_cnv_12.5,0.192,0.01,False,measured_no_match
29,79.89,363.667358,CNV,measured,U96-Quadcore-A53,u96-quadcore-a53_int2_cnv_25,0.192,0.03,False,measured_no_match
30,84.29,104.3136124,CNV,measured,U96-Quadcore-A53,u96-quadcore-a53_int2_cnv_50,0.192,0.12,False,measured_no_match
31,75.85,761.5829025,CNV,measured,U96-Quadcore-A53,u96-quadcore-a53_int4_cnv_12.5,0.192,0.01,False,measured_no_match
32,81.09,361.91828,CNV,measured,U96-Quadcore-A53,u96-quadcore-a53_int4_cnv_25,0.192,0.03,False,measured_no_match
100,84.88,24665.6,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_50,,,False,predicted_no_match
2,83.28,1211.78,CNV,measured,NCS,ncs_fp16_cnv_25,0.5,0.03,True,ncs_fp16_cnv_25
215,83.28,16666.66667,CNV,predicted,NCS,ncs_fp16_cnv_25,,,True,ncs_fp16_cnv_25
233,77.82,50000.0,CNV,predicted,NCS,ncs_fp16_cnv_12.5,,,True,ncs_fp16_cnv_12.5
98,84.88,24665.6,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_50,,,True,zcu104-finn_int4_cnv_50
179,87.02,1038.1617019999999,CNV,predicted,NCS,ncs_fp16_cnv_100,,,True,ncs_fp16_cnv_100
11,85.6,4384.54,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_50,0.67,0.12,True,tx2-maxn_fp32_cnv_50
197,85.55,4110.933333,CNV,predicted,NCS,ncs_fp16_cnv_50,,,True,ncs_fp16_cnv_50
1,77.82,1434.57,CNV,measured,NCS,ncs_fp16_cnv_12.5,0.5,0.01,True,ncs_fp16_cnv_12.5
3,85.55,739.209,CNV,measured,NCS,ncs_fp16_cnv_50,0.5,0.12,True,ncs_fp16_cnv_50
5,77.81,34197.2,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_12.5,1.33,0.01,True,tx2-maxn_fp16_cnv_12.5
4,87.06,2231.14,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_100,1.33,0.47,True,tx2-maxn_fp16_cnv_100
224,77.82,133000.0,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_12.5,,,True,tx2-maxn_fp16_cnv_12.5
267,85.6,5583.333333,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_50,,,True,tx2-maxn_fp32_cnv_50
6,83.31,20321.5,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_25,1.33,0.03,True,tx2-maxn_fp16_cnv_25
206,83.28,44333.33333,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_25,,,True,tx2-maxn_fp16_cnv_25
188,85.55,11083.33333,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_50,,,True,tx2-maxn_fp16_cnv_50
7,85.57,7707.19,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_50,1.33,0.12,True,tx2-maxn_fp16_cnv_50
249,87.06,1425.531915,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_100,,,True,tx2-maxn_fp32_cnv_100
8,87.06,1236.0,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_100,0.67,0.47,True,tx2-maxn_fp32_cnv_100
170,87.02,2829.787234,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_100,,,True,tx2-maxn_fp16_cnv_100
12,87.06,1939.6,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_100,1.15,0.47,True,tx2-maxp_fp16_cnv_100
21,77.81,23300.8,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_12.5,0.87,0.01,True,tx2-maxq_fp16_cnv_12.5
22,83.31,13507.3,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_25,0.87,0.03,True,tx2-maxq_fp16_cnv_25
13,77.81,29763.1,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_12.5,1.15,0.01,True,tx2-maxp_fp16_cnv_12.5
226,77.82,115000.0,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_12.5,,,True,tx2-maxp_fp16_cnv_12.5
14,83.31,17483.4,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_25,1.15,0.03,True,tx2-maxp_fp16_cnv_25
208,83.28,38333.33333,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_25,,,True,tx2-maxp_fp16_cnv_25
15,85.57,6618.15,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_50,1.15,0.12,True,tx2-maxp_fp16_cnv_50
190,85.55,9583.333333,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_50,,,True,tx2-maxp_fp16_cnv_50
251,87.06,1212.765957,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_100,,,True,tx2-maxp_fp32_cnv_100
16,87.06,1072.66,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_100,0.57,0.47,True,tx2-maxp_fp32_cnv_100
17,77.84,20283.3,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_12.5,0.57,0.01,True,tx2-maxp_fp32_cnv_12.5
305,77.84,57000.0,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_12.5,,,True,tx2-maxp_fp32_cnv_12.5
18,83.25,11247.1,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_25,0.57,0.03,True,tx2-maxp_fp32_cnv_25
287,83.25,19000.0,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_25,,,True,tx2-maxp_fp32_cnv_25
19,85.6,3744.29,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_50,0.57,0.12,True,tx2-maxp_fp32_cnv_50
269,85.6,4750.0,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_50,,,True,tx2-maxp_fp32_cnv_50
174,87.02,1851.06383,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_100,,,True,tx2-maxq_fp16_cnv_100
20,87.06,1520.04,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_100,0.87,0.47,True,tx2-maxq_fp16_cnv_100
228,77.82,87000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_12.5,,,True,tx2-maxq_fp16_cnv_12.5
