,top1,fps-comp,NN_Topology,type,hardw,hardw_datatype_net_prun,hw_peak_perf,nn_total_operations,pairs,color
15,98.49,985.2595928,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int2_mlp_50,0.192,0.0058200000000000005,False,measured_no_match
289,97.44,14925.0,MLP,predicted,TX2-maxn,tx2-maxn_fp32_mlp_25,,,False,predicted_no_match
84,98.77,3840.0,MLP,predicted,ZCU104-FINN,zcu104-finn_int4_mlp_100,,,False,predicted_no_match
19,98.62,984.9411728,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int4_mlp_50,0.192,0.0058200000000000005,False,measured_no_match
18,98.29,3110.117601000001,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int4_mlp_25,0.192,0.0019,False,measured_no_match
174,97.3,2985.0,MLP,predicted,TX2-maxn,tx2-maxn_fp16_mlp_100,,,False,predicted_no_match
210,97.49,29850.0,MLP,predicted,TX2-maxn,tx2-maxn_fp16_mlp_25,,,False,predicted_no_match
192,97.45,9950.0,MLP,predicted,TX2-maxn,tx2-maxn_fp16_mlp_50,,,False,predicted_no_match
253,97.31,1492.5,MLP,predicted,TX2-maxn,tx2-maxn_fp32_mlp_100,,,False,predicted_no_match
307,97.15,44640.72071,MLP,predicted,TX2-maxn,tx2-maxn_fp32_mlp_12.5,,,False,predicted_no_match
271,97.46,4975.0,MLP,predicted,TX2-maxn,tx2-maxn_fp32_mlp_50,,,False,predicted_no_match
178,97.3,2985.0,MLP,predicted,TX2-maxq,tx2-maxq_fp16_mlp_100,,,False,predicted_no_match
228,97.95,89281.44142,MLP,predicted,TX2-maxn,tx2-maxn_fp16_mlp_12.5,,,False,predicted_no_match
16,98.77,294.365206,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int4_mlp_100,0.192,0.02,False,measured_no_match
17,97.54,8535.609496,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int4_mlp_12.5,0.192,0.0007,False,measured_no_match
232,97.95,89281.44142,MLP,predicted,TX2-maxq,tx2-maxq_fp16_mlp_12.5,,,False,predicted_no_match
214,97.49,29850.0,MLP,predicted,TX2-maxq,tx2-maxq_fp16_mlp_25,,,False,predicted_no_match
196,97.45,9950.0,MLP,predicted,TX2-maxq,tx2-maxq_fp16_mlp_50,,,False,predicted_no_match
311,97.15,44640.72071,MLP,predicted,TX2-maxq,tx2-maxq_fp32_mlp_12.5,,,False,predicted_no_match
257,97.31,1492.5,MLP,predicted,TX2-maxq,tx2-maxq_fp32_mlp_100,,,False,predicted_no_match
293,97.44,14925.0,MLP,predicted,TX2-maxq,tx2-maxq_fp32_mlp_25,,,False,predicted_no_match
275,97.46,4975.0,MLP,predicted,TX2-maxq,tx2-maxq_fp32_mlp_50,,,False,predicted_no_match
12,98.75,294.0744008,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int2_mlp_100,0.192,0.02,False,measured_no_match
13,96.85,8493.696085,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int2_mlp_12.5,0.192,0.0007,False,measured_no_match
14,98.04,3104.686136,MLP,measured,U96-Quadcore A53,u96-quadcore a53_int2_mlp_25,0.192,0.0019,False,measured_no_match
176,97.3,2985.0,MLP,predicted,TX2-maxp,tx2-maxp_fp16_mlp_100,,,True,tx2-maxp_fp16_mlp_100
6,97.44,220832.0,MLP,measured,TX2-maxp,tx2-maxp_fp16_mlp_25,1.15,0.0019,True,tx2-maxp_fp16_mlp_25
230,97.95,89281.44142,MLP,predicted,TX2-maxp,tx2-maxp_fp16_mlp_12.5,,,True,tx2-maxp_fp16_mlp_12.5
5,97.15,278034.0,MLP,measured,TX2-maxp,tx2-maxp_fp16_mlp_12.5,1.15,0.0007,True,tx2-maxp_fp16_mlp_12.5
212,97.49,29850.0,MLP,predicted,TX2-maxp,tx2-maxp_fp16_mlp_25,,,True,tx2-maxp_fp16_mlp_25
4,97.3,61409.3,MLP,measured,TX2-maxp,tx2-maxp_fp16_mlp_100,1.15,0.02,True,tx2-maxp_fp16_mlp_100
1,97.95,2796.19,MLP,measured,NCS,ncs_fp16_mlp_12.5,0.5,0.0007,True,ncs_fp16_mlp_12.5
3,98.75,1370.96,MLP,measured,NCS,ncs_fp16_mlp_50,0.5,0.0058200000000000005,True,ncs_fp16_mlp_50
219,97.49,6400.0,MLP,predicted,NCS,ncs_fp16_mlp_25,,,True,ncs_fp16_mlp_25
2,98.49,2197.4,MLP,measured,NCS,ncs_fp16_mlp_25,0.5,0.0019,True,ncs_fp16_mlp_25
237,97.95,19142.4196,MLP,predicted,NCS,ncs_fp16_mlp_12.5,,,True,ncs_fp16_mlp_12.5
7,97.46,141671.0,MLP,measured,TX2-maxp,tx2-maxp_fp16_mlp_50,1.15,0.0058200000000000005,True,tx2-maxp_fp16_mlp_50
201,97.45,2133.333333,MLP,predicted,NCS,ncs_fp16_mlp_50,,,True,ncs_fp16_mlp_50
194,97.45,9950.0,MLP,predicted,TX2-maxp,tx2-maxp_fp16_mlp_50,,,True,tx2-maxp_fp16_mlp_50
75,96.85,50966.692189999994,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_12.5,,,True,u96-quadcore-a53_int8_mlp_12.5
255,97.31,1492.5,MLP,predicted,TX2-maxp,tx2-maxp_fp32_mlp_100,,,True,tx2-maxp_fp32_mlp_100
309,97.15,44640.72071,MLP,predicted,TX2-maxp,tx2-maxp_fp32_mlp_12.5,,,True,tx2-maxp_fp32_mlp_12.5
9,97.15,264873.0,MLP,measured,TX2-maxp,tx2-maxp_fp32_mlp_12.5,0.57,0.0007,True,tx2-maxp_fp32_mlp_12.5
