,,MNIST Classification
Hardware,Platform,MLP
FPGA,ZCU102-DPU,na
FPGA,ZCU104-DPU,na
FPGA,Ultra96-DPU,na
FPGA,ZCU104-FINN,"[INT2, INT4] * [100%,50%,25%,12.5%]"
FPGA,ZCU104-BISMO,"[INT2, INT4] * [100%,50%,25%,12.5%]"
GPU,TX2-maxn,"[FP16, FP32] * [100%,50%,25%,12.5%]"
GPU,TX2-maxp,"[FP16, FP32] * [100%,50%,25%,12.5%]"
GPU,TX2-maxq,"[FP16, FP32] * [100%,50%,25%,12.5%]"
TPU,TPU-fast clk,na
TPU,TPU-slow clk,na
VLIW,NCS,"[FP16] * [100%,50%,25%,12.5%]"
CPU,U96-Quadcore A53,"[INT2, INT4] * [100%,50%,25%,12.5%]"
