Name,Peak_Performance,Bandwidth
Ultra96 DPU INT8,0.96,0.00426
ZCU104 INT8,4.6,0.0192
ZCU102 INT8,6.71,0.0192
ZCU104 FINN INT2,30.7,0.0192
ZCU104 FINN INT4,8.8,0.0192
ZCU104 FINN INT8,3.5,0.0192
ZCU104 FINN FP16,1.73,0.0192
ZCU104 BISMO INT2,2.45,0.0192
ZCU104 BISMO INT4,0.61,0.0192
TX2 maxn FP16,1.33,0.0597
TX2 maxn FP32,0.67,0.0597
TX2 maxp FP16,1.15,0.0597
TX2 maxp FP32,0.57,0.0597
TX2 maxq FP16,0.87,0.0597
TX2 maxq FP32,0.44,0.0597
TPU fast INT8,4,0.0256
TPU slow INT8,2,0.0256
NCS INT8,1,0.0128
NCS FP16,0.5,0.0128
