goo_volt,fast_goo_amp,fast_mob_volt,fast_mob_amp,fast_es_volt,fast_es_amp,fast_em_volt,fast_em_amp,fast_el_volt,fast_el_amp,Idle,fast_r15_volt,fast_r15_amp
5.03,0.265,5.06,0.155,5.02,0.339,5.08,0.07,5.03,0.311,0.79442,5.07,0.082
5.03,0.302,5.06,0.155,5.01,0.373,5.07,0.079,5.04,0.2,0.79442,5.08,0.043
5.03,0.276,5.06,0.155,5.01,0.368,5.06,0.157,5.02,0.312,0.79442,5.06,0.161
5.03,0.276,5.06,0.155,5.01,0.387,5.08,0.041,5.03,0.319,0.79442,5.08,0.044
5.03,0.311,5.06,0.155,5.01,0.388,5.01,0.376,5.02,0.351,0.79442,5.05,0.227
5.02,0.31,5.06,0.155,5.01,0.371,5.02,0.382,5.02,0.333,0.79442,5.04,0.228
5.03,0.308,5.06,0.155,5.01,0.382,5.02,0.374,5.02,0.321,0.79442,5.04,0.232
5.03,0.308,5.06,0.155,5.01,0.363,5.02,0.337,5.02,0.357,0.79442,5.04,0.229
5.03,0.311,5.06,0.155,5.01,0.364,5.02,0.376,5.02,0.358,0.0471,5.04,0.236
5.06,0.156,5.06,0.155,5.06,0.156,5.01,0.378,5.01,0.382,0.0471,5.05,0.225
5.06,0.153,5.06,0.155,5.01,0.368,5.02,0.382,5.01,0.387,0.79442,5.05,0.219
5.03,0.269,5.06,0.155,5.01,0.377,5.02,0.38,5.01,0.376,0.79442,5.05,0.197
5.03,0.291,5.06,0.155,5.01,0.375,5.02,0.376,5.02,0.37,0.79442,5.05,0.225
5.04,0.264,5.03,0.299,5.01,0.374,5.01,0.394,5.02,0.362,0.79442,5.05,0.227
5.03,0.304,5.03,0.294,5.02,0.363,5.01,0.381,5.02,0.359,0.79442,5.05,0.221
5.03,0.304,0.3,0.294,5.06,0.16,5.01,0.396,5.02,0.364,0.79442,5.05,0.229
5.03,0.304,5.05,0.224,5.01,0.376,5.02,0.373,5.01,0.388,0.79442,5.05,0.22
5.03,0.297,5.04,0.279,5.02,0.362,5.02,0.366,5.02,0.365,0.79442,5.05,0.217
5.04,0.267,5.03,0.29,5.01,0.377,5.02,0.366,5.01,0.385,0.79442,5.04,0.227
5.04,0.275,5.03,0.284,5.01,0.391,5.06,0.163,5.02,0.339,0.79442,5.05,0.228
5.03,0.294,5.03,0.291,5.01,0.387,5.02,0.37,5.02,0.365,0.79442,5.04,0.233
5.03,0.307,5.03,0.289,5.01,0.372,5.02,0.371,5.01,0.387,0.79442,5.05,0.197
5.03,0.314,5.08,0.046,5.01,0.37,5.02,0.368,5.02,0.347,0.80454,5.04,0.232
5.03,0.295,5.06,0.157,5.02,0.369,5.02,0.402,3.98,0.398,0.80454,5.05,0.2
5.04,0.275,5.06,0.155,5.02,0.369,5.01,0.391,10.29,0.904,0.80454,5.05,0.229
5.03,0.303,5.06,0.157,5.02,0.369,5.02,0.386,5.02,0.346,0.80454,5.05,0.227
