goo_volt,slow_goo_amp,slow_mob_volt,slow_mob_amp,slow_es_volt,slow_es_amp,slow_em_volt,slow_em_amp,slow_el_volt,slow_el_amp,Idle,slow_r15_volt,slow_r15_amp
5.04,0.224,5.06,0.15,5.05,0.17,5.06,0.141,5.07,0.097,0.26924,5.06,0.193
5.04,0.219,5.06,0.151,5.04,0.233,5.06,0.153,5.03,0.286,0.26871,5.05,0.204
5.04,0.239,5.06,0.151,5.03,0.282,5.05,0.218,5.03,0.278,0.26871,5.05,0.202
5.06,0.151,5.06,0.15,5.03,0.28,5.05,0.19,5.03,0.277,0.26871,5.06,0.194
5.05,0.161,5.06,0.149,5.04,0.263,5.06,0.176,5.03,0.278,0.26871,5.05,0.201
5.04,0.2,5.06,0.151,5.03,0.288,5.03,0.287,5.03,0.303,0.26871,5.05,0.207
5.04,0.237,5.06,0.15,5.03,0.284,5.06,0.157,5.03,0.293,0.26871,5.05,0.2
5.06,0.15,5.06,0.151,5.05,0.22,5.03,0.285,5.03,0.266,0.27378,5.06,0.188
5.05,0.166,5.06,0.152,5.06,0.156,5.03,0.28,5.03,0.283,0.7337,5.05,0.201
5.05,0.19,5.06,0.152,5.06,0.156,5.06,0.171,5.03,0.291,0.26416,5.05,0.207
5.04,0.229,5.06,0.152,5.06,0.155,5.06,0.158,5.03,0.277,0.26871,5.05,0.2
5.04,0.232,5.06,0.152,5.06,0.155,5.06,0.158,5.03,0.291,0.26364,5.05,0.196
5.03,0.237,5.06,0.152,5.06,0.171,5.03,0.276,5.03,0.281,0.7373,5.05,0.204
5.03,0.239,5.08,0.052,5.03,0.281,5.03,0.294,5.03,0.27,0.79285,5.05,0.206
5.04,0.234,5.06,0.152,5.03,0.271,5.03,0.285,5.05,0.171,0.79285,5.06,0.195
5.04,0.229,5.07,0.115,5.03,0.275,5.03,0.281,5.06,0.171,0.7777,5.05,0.205
5.04,0.236,5.05,0.197,5.03,0.264,5.06,0.178,5.03,0.302,0.75245,5.06,0.174
