NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun,norm-lat-comp,quant_model
CNV,NCS,FP16,na,1,4.97914,151.555,200.838,,,87.02,,0.53,1.2,1.728796,0.46944972799999996,100.0,l3,NCS_FP16_100%,0.0003419473860852411,FP16_NCS
CNV,NCS,FP16,na,2,8.93829,162.738,223.757,,,87.02,,0.53,1.2,1.7803,0.9388994559999999,100.0,l3,NCS_FP16_100%,0.0006138459455994106,FP16_NCS
CNV,NCS,FP16,na,4,16.8473,171.28400000000002,237.426,,,87.02,,0.53,1.2,1.82302425,1.8777989119999998,100.0,l3,NCS_FP16_100%,0.00115700506464849,FP16_NCS
CNV,NCS,FP16,na,8,31.8658,177.25900000000001,251.053,,,87.02,,0.53,1.2,1.86092125,3.7555978239999996,100.0,l3,NCS_FP16_100%,0.0021884154724540936,FP16_NCS
CNV,NCS,FP16,na,16,61.7732,181.62099999999998,259.012,,,87.02,,0.53,1.2,1.87945948717949,7.511195647999999,100.0,l3,NCS_FP16_100%,0.0042423358793126555,FP16_NCS
CNV,NCS,FP16,na,32,121.825,183.067,262.673,,,87.02,,0.53,1.2,1.9037246153846201,15.022391295999999,100.0,l3,NCS_FP16_100%,0.00836645290348022,FP16_NCS
CNV,NCS,FP16,na,64,242.09799999999998,183.706,264.356,,,87.02,,0.53,1.2,1.9036710526315799,30.044782591999997,100.0,l3,NCS_FP16_100%,0.016626320665107767,FP16_NCS
CNV,NCS,FP16,na,128,481.675,184.24,265.73900000000003,,,87.02,,0.53,1.2,1.9110200000000002,60.089565183999994,100.0,l3,NCS_FP16_100%,0.03307950915069841,FP16_NCS
CNV,GPU,FP16,maxp,1,1.3044,567.942,785.6389999999999,,,87.06,,1.8,4.7,10.3,0.46944972799999996,100.0,l3,GPU_FP16_100%,8.958096587153373e-05,FP16_GPU
CNV,GPU,FP16,maxp,2,2.0865,695.18,976.935,,,87.06,,1.8,4.7,10.4,0.9388994559999999,100.0,l3,GPU_FP16_100%,0.0001432924603579846,FP16_GPU
CNV,GPU,FP16,maxp,4,3.46883,867.797,1153.66,,,87.06,,1.8,4.7,10.1,1.8777989119999998,100.0,l3,GPU_FP16_100%,0.00023822534639999414,FP16_GPU
CNV,GPU,FP16,maxp,8,5.500290000000001,1048.11,1454.76,,,87.06,,1.8,4.7,10.9,3.7555978239999996,100.0,l3,GPU_FP16_100%,0.0003777378800778429,FP16_GPU
CNV,GPU,FP16,maxp,16,9.843110000000001,1149.27,1666.98,,,87.06,,1.8,4.7,10.9,7.511195647999999,100.0,l3,GPU_FP16_100%,0.0006759853580034901,FP16_GPU
CNV,GPU,FP16,maxp,32,17.6312,1232.25,1831.75,,,87.06,,1.8,4.7,10.9,15.022391295999999,100.0,l3,GPU_FP16_100%,0.001210840175923172,FP16_GPU
CNV,GPU,FP16,maxp,64,33.6549,1286.43,1909.28,,,87.06,,1.8,4.7,10.9,30.044782591999997,100.0,l3,GPU_FP16_100%,0.0023112836923565474,FP16_GPU
CNV,GPU,FP16,maxp,128,66.3648,1302.8,1939.6,,,87.06,,1.8,4.7,10.8,60.089565183999994,100.0,l3,GPU_FP16_100%,0.004557668570891722,FP16_GPU
CNV,GPU,FP32,maxp,1,1.9405,430.25199999999995,515.51,,,87.06,,1.8,4.7,11.1,0.46944972799999996,100.0,l3,GPU_FP32_100%,0.0001332657653125661,FP32_GPU
CNV,GPU,FP32,maxp,2,3.3455199999999996,501.224,598.786,,,87.06,,1.8,4.7,12.4,0.9388994559999999,100.0,l3,GPU_FP32_100%,0.00022975690964622316,FP32_GPU
CNV,GPU,FP32,maxp,4,5.68452,585.812,703.573,,,87.06,,1.8,4.7,11.8,1.8777989119999998,100.0,l3,GPU_FP32_100%,0.0003903900583533049,FP32_GPU
CNV,GPU,FP32,maxp,8,9.38038,691.425,851.171,,,87.06,,1.8,4.7,11.8,3.7555978239999996,100.0,l3,GPU_FP32_100%,0.0006442069155489249,FP32_GPU
CNV,GPU,FP32,maxp,16,16.9903,757.3960000000001,954.7660000000001,,,87.06,,1.8,4.7,11.7,7.511195647999999,100.0,l3,GPU_FP32_100%,0.0011668257317135231,FP32_GPU
CNV,GPU,FP32,maxp,32,31.2828,809.4860000000001,1031.79,,,87.06,,1.8,4.7,11.6,15.022391295999999,100.0,l3,GPU_FP32_100%,0.0021483773682658813,FP32_GPU
CNV,GPU,FP32,maxp,64,61.0857,829.822,1057.7,,,87.06,,1.8,4.7,12.4,30.044782591999997,100.0,l3,GPU_FP32_100%,0.0041951211338076885,FP32_GPU
CNV,GPU,FP32,maxp,128,119.45299999999999,839.3439999999999,1072.66,,,87.06,,1.8,4.7,12.4,60.089565183999994,100.0,l3,GPU_FP32_100%,0.008203553446988898,FP32_GPU
CNV,ZCU104-FINN,INT4,,1,4.874,,205.17,,96.31700069376,87.42,,9.2,11.8,15.025,0.46944972799999996,100.0,l3,ZCU104-FINN_INT4_100%,0.00033472679213267047,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,2,6.872000000000001,,291.078,,136.646487926784,87.42,,9.2,11.8,15.4,0.9388994559999999,100.0,l3,ZCU104-FINN_INT4_100%,0.0004719414270692885,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,4,9.884,,404.694,,189.983488223232,87.42,,9.2,11.8,15.875,1.8777989119999998,100.0,l3,ZCU104-FINN_INT4_100%,0.0006787935193761418,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,8,15.704,,509.35900000000004,,239.118444004352,87.42,,9.2,11.8,16.7,3.7555978239999996,100.0,l3,ZCU104-FINN_INT4_100%,0.0010784878013236476,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,16,27.344,,584.988,,274.622457483264,87.42,,9.2,11.8,17.575,7.511195647999999,100.0,l3,ZCU104-FINN_INT4_100%,0.0018778763652186588,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,32,50.656000000000006,,631.874,,296.633077430272,87.42,,9.2,11.8,19.25,15.022391295999999,100.0,l3,ZCU104-FINN_INT4_100%,0.0034788511247994583,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,64,97.21600000000001,,658.2669999999999,,309.023264101376,87.42,,9.2,11.8,19.3,30.044782591999997,100.0,l3,ZCU104-FINN_INT4_100%,0.006676405380379503,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,128,190.33599999999998,,672.301,,315.611521584128,87.42,,9.2,11.8,19.275,60.089565183999994,100.0,l3,ZCU104-FINN_INT4_100%,0.013071513891539592,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,256,376.832,,679.548,,319.013623762944,87.42,,9.2,11.8,19.35,120.17913036799999,100.0,l3,ZCU104-FINN_INT4_100%,0.025879311968185985,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,512,749.568,,683.2289999999999,,320.741668211712,87.42,,9.2,11.8,19.375,240.35826073599998,100.0,l3,ZCU104-FINN_INT4_100%,0.05147732706715256,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,10000,14561.128999999999,,686.76,,322.39929520128,88.42,,9.2,11.8,19.7625,4694.49728,100.0,l3,ZCU104-FINN_INT4_100%,1.0,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,1,1.2990000000000002,,769.823,,361.393197958144,86.86,,9.2,11.6,14.3,0.46944972799999996,100.0,l3,ZCU104-FINN_INT2_100%,8.921011550684018e-05,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,2,1.784,,1121.076,,526.288823267328,86.86,,9.2,11.6,14.425,0.9388994559999999,100.0,l3,ZCU104-FINN_INT2_100%,0.00012251797233579897,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,4,2.6,,1539.0529999999999,,722.5080122275841,86.86,,9.2,11.6,14.475,1.8777989119999998,100.0,l3,ZCU104-FINN_INT2_100%,0.00017855758300060388,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,8,3.928,,2034.588,,955.1367831920641,86.86,,9.2,11.6,14.35,3.7555978239999996,100.0,l3,ZCU104-FINN_INT2_100%,0.0002697593023178354,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,16,6.5920000000000005,,2425.345,,1138.57755055616,86.86,,9.2,11.6,14.825,7.511195647999999,100.0,l3,ZCU104-FINN_INT2_100%,0.0004527121488999926,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,32,11.936,,2682.763,,1259.4223606384598,86.86,,9.2,11.6,14.95,15.022391295999999,100.0,l3,ZCU104-FINN_INT2_100%,0.0008197166579596954,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,64,22.592,,2832.987,,1329.94497657754,86.86,,9.2,11.6,15.925,30.044782591999997,100.0,l3,ZCU104-FINN_INT2_100%,0.001551528044288324,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,128,43.903999999999996,,2914.655,,1368.28399696384,86.86,,9.2,11.6,17.175,60.089565183999994,100.0,l3,ZCU104-FINN_INT2_100%,0.003015150816945582,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,256,86.52799999999999,,2957.315,,1388.31072236032,86.86,,9.2,11.6,17.175,120.17913036799999,100.0,l3,ZCU104-FINN_INT2_100%,0.005942396362260097,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,512,172.032,,2979.0820000000003,,1398.5292345897,86.86,,9.2,11.6,17.175,240.35826073599998,100.0,l3,ZCU104-FINN_INT2_100%,0.011814468507215342,INT2_ZCU104-FINN
CNV,NCS,FP16,na,1,2.3854900000000003,251.922,419.20099999999996,,,85.55,,0.53,1.2,1.6554008695652198,0.11892275199999999,50.0,l3,NCS_FP16_50%,0.00016382589564311947,FP16_NCS
CNV,NCS,FP16,na,2,3.9390199999999997,284.481,507.74,,,85.55,,0.53,1.2,1.67672,0.23784550399999999,50.0,l3,NCS_FP16_50%,0.00027051611176578407,FP16_NCS
CNV,NCS,FP16,na,4,6.68938,310.97900000000004,597.9630000000001,,,85.55,,0.53,1.2,1.71,0.47569100799999997,50.0,l3,NCS_FP16_50%,0.00045939981714329984,FP16_NCS
CNV,NCS,FP16,na,8,12.4153,321.433,644.367,,,85.55,,0.53,1.2,1.73,0.9513820159999999,50.0,l3,NCS_FP16_50%,0.000852633061625922,FP16_NCS
CNV,NCS,FP16,na,16,23.1369,334.42800000000005,691.5369999999999,,,85.55,,0.53,1.2,1.75,1.9027640319999999,50.0,l3,NCS_FP16_50%,0.001588949593125643,FP16_NCS
CNV,NCS,FP16,na,32,44.7066,338.17800000000005,715.779,,,85.55,,0.53,1.2,1.77,3.8055280639999998,50.0,l3,NCS_FP16_50%,0.003070270169297999,FP16_NCS
CNV,NCS,FP16,na,64,87.2444,342.12,733.571,,,85.55,,0.53,1.2,1.78,7.6110561279999995,50.0,l3,NCS_FP16_50%,0.005991595843976109,FP16_NCS
CNV,NCS,FP16,na,128,173.158,345.16900000000004,739.209,,,85.55,,0.53,1.2,1.8,15.222112255999999,50.0,l3,NCS_FP16_50%,0.011891797675853294,FP16_NCS
