NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun_net,norm-lat-comp,quant_model,hw_precision_net_prun
MNv1,TPU,INT8,slow,1,4.08249,127.256,244.949,398.31127999999995,766.69037,69.5674,87.7058,0.253,0.253,0.462,,100.0,l3,TPU_INT8_100%_MNv1,1.0,INT8_TPU,TPU_INT8_MNv1_100.0
MNv1,TPU,INT8,fast,1,2.5704700000000003,166.533,389.034,521.24829,1217.67642,69.5674,87.7058,0.253,0.253,0.532,,100.0,l3,TPU_INT8_100%_MNv1,0.6296328956102771,INT8_TPU,TPU_INT8_MNv1_100.0
GNv1,TPU,INT8,slow,1,5.72131,99.741,174.785,312.18933,547.07705,69.2434,88.4458,0.253,0.253,0.46299999999999997,,100.0,l3,TPU_INT8_100%_GNv1,0.0060993215525402345,INT8_TPU,TPU_INT8_GNv1_100.0
GNv1,TPU,INT8,fast,1,3.6485199999999995,135.08700000000002,274.084,422.82230999999996,857.8829199999999,69.2434,88.4458,0.253,0.253,0.5379999999999999,,100.0,l3,TPU_INT8_100%_GNv1,0.0038895806503884763,INT8_TPU,TPU_INT8_GNv1_100.0
GNv1,TX2,FP16,maxp,1,6.16337,99.8245,169.338,312.45099999999996,530.029,66.928,87.83200000000001,1.8,4.7,8.07,,100.0,l3,TX2_FP16_100%_GNv1,0.006570588812226553,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,2,10.6197,108.36,192.363,339.166,602.095,66.928,87.83200000000001,1.8,4.7,8.28,,100.0,l3,TX2_FP16_100%_GNv1,0.011321352118922332,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,4,18.9408,120.117,212.503,375.967,665.135,66.928,87.83200000000001,1.8,4.7,8.47,,100.0,l3,TX2_FP16_100%_GNv1,0.020192233887405868,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,8,35.7512,126.529,224.57,396.036,702.904,66.928,87.83200000000001,1.8,4.7,8.61,,100.0,l3,TX2_FP16_100%_GNv1,0.03811331053363241,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,16,68.7958,135.845,232.794,425.195,728.645,66.928,87.83200000000001,1.8,4.7,8.69,,100.0,l3,TX2_FP16_100%_GNv1,0.07334119382872933,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,32,135.189,135.468,236.7,424.014,740.8710000000001,66.928,87.83200000000001,1.8,4.7,8.35,,100.0,l3,TX2_FP16_100%_GNv1,0.1441210459433874,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,64,267.32099999999997,124.802,239.278,390.63,748.94,66.928,87.83200000000001,1.8,4.7,8.07,,100.0,l3,TX2_FP16_100%_GNv1,0.2849831134384621,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP16,maxp,128,532.179,115.89,240.699,362.73400000000004,753.387,66.928,87.83200000000001,1.8,4.7,7.74,,100.0,l3,TX2_FP16_100%_GNv1,0.5673404944862819,FP16_TX2,TX2_FP16_GNv1_100.0
GNv1,TX2,FP32,maxp,1,10.2465,67.515,100.03299999999999,211.322,313.103,66.956,87.844,1.8,4.7,9.15,,100.0,l3,TX2_FP32_100%_GNv1,0.010923494494810369,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,2,18.0468,77.2597,112.34899999999999,241.82299999999998,351.652,66.956,87.844,1.8,4.7,9.37,,100.0,l3,TX2_FP32_100%_GNv1,0.019239166588488146,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,4,32.9171,84.5094,121.93700000000001,264.514,381.662,66.956,87.844,1.8,4.7,9.56,,100.0,l3,TX2_FP32_100%_GNv1,0.03509195926756672,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,8,62.4034,88.8812,128.575,278.198,402.44,66.956,87.844,1.8,4.7,9.71,,100.0,l3,TX2_FP32_100%_GNv1,0.06652644282022635,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,16,121.70700000000001,91.7645,131.84,287.223,412.658,66.956,87.844,1.8,4.7,9.75,,100.0,l3,TX2_FP32_100%_GNv1,0.12974827936172212,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,32,238.447,94.2997,134.274,295.158,420.279,66.956,87.844,1.8,4.7,9.77,,100.0,l3,TX2_FP32_100%_GNv1,0.2542013850391888,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,64,473.49800000000005,88.4895,135.156,276.972,423.038,66.956,87.844,1.8,4.7,9.5,,100.0,l3,TX2_FP32_100%_GNv1,0.5047823936274553,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,TX2,FP32,maxp,128,938.0239999999999,84.7963,136.319,265.41200000000003,426.68,66.956,87.844,1.8,4.7,9.16,,100.0,l3,TX2_FP32_100%_GNv1,1.0,FP32_TX2,TX2_FP32_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,1,6.6557,103.431,150.391,323.73902999999996,470.52977000000004,69.49,89.26,20.0,29.0,31.45,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.007095447451237922,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,2,6.84872,202.476,290.497,633.748,909.2560000000001,69.49,89.26,20.0,29.0,33.9,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.007301220437856601,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,3,7.17587,296.555,424.31199999999995,928.217,1328.1,69.49,89.26,20.0,29.0,36.4,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.007649985501437064,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,4,8.61315,341.35400000000004,462.215,1068.44,1446.73,69.49,89.26,20.0,29.0,37.9,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.009182227746838034,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,5,10.3627,364.86800000000005,529.573,1142.04,1657.56,69.49,89.26,20.0,29.0,38.9,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.01104737192225359,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,6,12.8324,371.273,544.702,1162.09,1704.92,69.49,89.26,20.0,29.0,37.4,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.01368024698728391,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,7,15.4456,377.01,536.201,1180.04,1678.31,69.49,89.26,20.0,29.0,38.5,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.016466103212710977,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
