Name,arith_intens,performance
Ultra96 DPU INT8,1,0.00426
Ultra96 DPU INT8,226.1,0.96
Ultra96 DPU INT8,160000,0.96
ZCU104 INT8,1,0.0192
ZCU104 INT8,240.1,4.6
ZCU104 INT8,160000,4.6
ZCU102 INT8,1,0.0192
ZCU102 INT8,350.1,6.71
ZCU102 INT8,160000,6.71
ZCU104 FINN INT2,1,0.0192
ZCU104 FINN INT2,1599.1,30.7
ZCU104 FINN INT2,160000,30.7
ZCU104 FINN INT4,1,0.0192
ZCU104 FINN INT4,459.1,8.8
ZCU104 FINN INT4,160000,8.8
ZCU104 FINN INT8,1,0.0192
ZCU104 FINN INT8,183.1,3.5
ZCU104 FINN INT8,160000,3.5
ZCU104 FINN FP16,1,0.0192
ZCU104 FINN FP16,91.1,1.73
ZCU104 FINN FP16,160000,1.73
ZCU104 BISMO INT2,1,0.0192
ZCU104 BISMO INT2,128.1,2.45
ZCU104 BISMO INT2,160000,2.45
ZCU104 BISMO INT4,1,0.0192
ZCU104 BISMO INT4,32.1,0.61
ZCU104 BISMO INT4,160000,0.61
TX2 maxn FP16,1,0.0597
TX2 maxn FP16,23.1,1.33
TX2 maxn FP16,160000,1.33
TX2 maxn FP32,1,0.0597
TX2 maxn FP32,12.1,0.67
TX2 maxn FP32,160000,0.67
TX2 maxp FP16,1,0.0597
TX2 maxp FP16,20.1,1.15
TX2 maxp FP16,160000,1.15
TX2 maxp FP32,1,0.0597
TX2 maxp FP32,10.1,0.57
TX2 maxp FP32,160000,0.57
TX2 maxq FP16,1,0.0597
TX2 maxq FP16,15.1,0.87
TX2 maxq FP16,160000,0.87
TX2 maxq FP32,1,0.0597
TX2 maxq FP32,8.1,0.44
TX2 maxq FP32,160000,0.44
TPU fast INT8,1,0.0256
TPU fast INT8,157.1,4.0
TPU fast INT8,160000,4.0
TPU slow INT8,1,0.0256
TPU slow INT8,79.1,2.0
TPU slow INT8,160000,2.0
NCS INT8,1,0.0128
NCS INT8,79.1,1.0
NCS INT8,160000,1.0
NCS FP16,1,0.0128
NCS FP16,39.1,0.5
NCS FP16,160000,0.5
MobileNet V1,23878,100.0
AlexNet,2995,100.0
GoogLeNet V1,29988,100.0
ResNet-18,39950,100.0
ResNet-34,43169,100.0
VGG16_BN,7183,100.0
ResNet-101,22671,100.0
ResNet-34-SSD,51070,100.0
ResNet-50,41475,100.0
ResNet-152,24587,100.0
MaskRCNN,145921,100.0
GNMT,6086,100.0
ResNet-50,82560,100.0
MaskRCNN,145921,100.0
MobileNet V2,12464,100.0
GNMT,9009,100.0
MLP,2,100.0
CNV,76,100.0
CNV-50%,77,100.0
CNV-25%,78,100.0
CNV-12.5%,83,100.0
MLP-50%,2,100.0
MLP-25%,2,100.0
MobileNet V1,23878,25.0
AlexNet,2995,25.0
GoogLeNet V1,29988,25.0
ResNet-18,39950,25.0
ResNet-34,43169,25.0
VGG16_BN,7183,25.0
ResNet-101,22671,25.0
ResNet-34-SSD,51070,25.0
ResNet-50,41475,25.0
ResNet-152,24587,25.0
MaskRCNN,145921,25.0
GNMT,6086,25.0
ResNet-50,82560,25.0
MaskRCNN,145921,25.0
MobileNet V2,12464,25.0
GNMT,9009,25.0
MLP,2,25.0
CNV,76,25.0
CNV-50%,77,25.0
CNV-25%,78,25.0
CNV-12.5%,83,25.0
MLP-50%,2,25.0
MLP-25%,2,25.0
MobileNet V1,23878,75.0
AlexNet,2995,75.0
GoogLeNet V1,29988,75.0
ResNet-18,39950,75.0
ResNet-34,43169,75.0
VGG16_BN,7183,75.0
ResNet-101,22671,75.0
ResNet-34-SSD,51070,75.0
ResNet-50,41475,75.0
ResNet-152,24587,75.0
MaskRCNN,145921,75.0
GNMT,6086,75.0
ResNet-50,82560,75.0
MaskRCNN,145921,75.0
MobileNet V2,12464,75.0
GNMT,9009,75.0
MLP,2,75.0
CNV,76,75.0
CNV-50%,77,75.0
CNV-25%,78,75.0
CNV-12.5%,83,75.0
MLP-50%,2,75.0
MLP-25%,2,75.0
MobileNet V1,23878,1e-06
AlexNet,2995,1e-06
GoogLeNet V1,29988,1e-06
ResNet-18,39950,1e-06
ResNet-34,43169,1e-06
VGG16_BN,7183,1e-06
ResNet-101,22671,1e-06
ResNet-34-SSD,51070,1e-06
ResNet-50,41475,1e-06
ResNet-152,24587,1e-06
MaskRCNN,145921,1e-06
GNMT,6086,1e-06
ResNet-50,82560,1e-06
MaskRCNN,145921,1e-06
MobileNet V2,12464,1e-06
GNMT,9009,1e-06
MLP,2,1e-06
CNV,76,1e-06
CNV-50%,77,1e-06
CNV-25%,78,1e-06
CNV-12.5%,83,1e-06
MLP-50%,2,1e-06
MLP-25%,2,1e-06
