Name,Total Params,Fwd Ops,arith_intens
MobileNet V1,3504872,83690697312,0
AlexNet,61100840,1.83E+11,0
GoogLeNet V1,13004888,3.90E+11,0
ResNet-18,11689512,4.67E+11,0
ResNet-34,21797672,9.41E+11,0
VGG16_BN,138365992,9.94E+11,0
ResNet-101,44549160,1.01E+12,0
ResNet-34-SSD,19972534,1.02E+12,0
ResNet-50,25557032,1.06E+12,0
ResNet-152,60192808,1.48E+12,0
MaskRCNN,80865393,1.18E+13,0
GNMT,167592509,1.02E+12,0
ResNet-50,25557032,2.11E+12,0
MaskRCNN,80865393,1.18E+13,0
MobileNet V2,3505960,43699192640,0
GNMT,167592509,1.51E+12,0
MLP,10014720,20029440,0
CNV,6157696,469449728,0
CNV-50%,1542848,118922752,0
CNV-25%,387424,30510848,0
CNV-12.5%,97712,8124928,0
MLP-50%,2910208,5820416,0
MLP-25%,930816,1861632,0
